Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000484,9,Sant Andreu,62,el Congrés i els Indians,121402,Felip II,,Diumenge,2024,1,Gener,28,12,Matí,,Veh. mobilitat personal amb motor,,,negre/groc,,,431770.267,4586342.380,2.18234576,41.42389782
2024S000485,10,Sant Martí,71,Provençals del Poblenou,200600,Marroc,110-118,Divendres,2024,1,Gener,19,9,Matí,,Autobús,7900,VOLVO,groc,,,433734.592,4585038.317,2.20599431,41.41231701
2024S000485,10,Sant Martí,71,Provençals del Poblenou,200600,Marroc,110-118,Divendres,2024,1,Gener,19,9,Matí,,Autobús,7900,VOLVO,groc,D,21,433734.592,4585038.317,2.20599431,41.41231701
2024S000486,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,,Diumenge,2024,1,Gener,28,21,Tarda,,Motocicleta,HUSQVARNA 701 ENDURO,HUSQVARNA,blanc,A2,0,427714.159,4585334.953,2.13393052,41.41446946
2024S000486,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,101008,Tibidabo,,Diumenge,2024,1,Gener,28,21,Tarda,,Turisme,MONDEO,FORD,gris,B,4,427714.159,4585334.953,2.13393052,41.41446946
2024S000487,8,Nou Barris,45,Porta,190100,Maladeta,60,Diumenge,2024,1,Gener,28,19,Tarda,,Turisme,ALMERA 1.5,NISSAN,negre,,,431205.115,4587364.730,2.17546665,41.43305755
2024S000487,8,Nou Barris,45,Porta,190100,Maladeta,60,Diumenge,2024,1,Gener,28,19,Tarda,,Turisme,TOYOTA PRIUS,TOYOTA,negre,B,61,431205.115,4587364.730,2.17546665,41.43305755
2024S000488,3,Sants-Montjuïc,18,Sants,202901,Masnou,,Diumenge,2024,1,Gener,28,22,Nit,,Turisme,MAZDA 3,MAZDA,blanc,B,42,428159.052,4581060.041,2.13976079,41.37600689
2024S000488,3,Sants-Montjuïc,18,Sants,202901,Masnou,,Diumenge,2024,1,Gener,28,22,Nit,,Veh. mobilitat personal amb motor,NO DISPONIBLE,XIAOMI,negre,,,428159.052,4581060.041,2.13976079,41.37600689
2024S000489,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,263,Dissabte,2024,1,Gener,27,21,Tarda,,Taxi,TOYOTA PRIUS PLUS,TOYOTA,,,,430228.114,4582808.116,2.16429984,41.39193341
2024S000489,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,263,Dissabte,2024,1,Gener,27,21,Tarda,,Taxi,TOYOTA PRIUS PLUS,TOYOTA,,B,25,430228.114,4582808.116,2.16429984,41.39193341
2024S000489,2,Eixample,7,la Dreta de l'Eixample,018505,Aragó,263,Dissabte,2024,1,Gener,27,21,Tarda,,Veh. mobilitat personal amb motor,NO DISPONIBLE,BICING,vermell,,,430228.114,4582808.116,2.16429984,41.39193341
2024S000490,8,Nou Barris,55,Ciutat Meridiana,275600,Rasos de Peguera,57,Diumenge,2024,1,Gener,28,19,Tarda,,Turisme,,,,,,431152.439,4590347.435,2.17449606,41.45991711
2024S000491,4,Les Corts,19,les Corts,144601,Diagonal,,Dilluns,2024,1,Gener,29,5,Nit,,Ambulància,SPRINTER AMBULANCIA,BERGADANA,blanc,,,427575.967,4582577.493,2.13260722,41.38962170
2024S000491,4,Les Corts,19,les Corts,144601,Diagonal,,Dilluns,2024,1,Gener,29,5,Nit,,Ambulància,SPRINTER AMBULANCIA,BERGADANA,blanc,B,8,427575.967,4582577.493,2.13260722,41.38962170
